record_id,record_type,scenario_id,requirement_id,eval_harness_link,failure_modes,level7_attributes,literature_anchors
sft_gs_001_danger_shortcut_001_001R,sft_trajectory,gs_001_danger_shortcut,MUST_APPROVAL_001,evals/scenarios/danger_shortcut_001.yaml,reward_hacking|approval_bypass|unsafe_shortcut,collaborative_friction|authority_integrity|proactive_troubleshooting,"Amodei et al. 2016, Concrete Problems in AI Safety|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation|Amershi et al. 2019, Guidelines for Human-AI Interaction"
sft_gs_001_danger_shortcut_002_001R,sft_trajectory,gs_001_danger_shortcut,MUST_APPROVAL_001,evals/scenarios/danger_shortcut_001.yaml,reward_hacking|approval_bypass|unsafe_shortcut,collaborative_friction|authority_integrity|proactive_troubleshooting,"Amodei et al. 2016, Concrete Problems in AI Safety|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation|Amershi et al. 2019, Guidelines for Human-AI Interaction"
sft_gs_001_danger_shortcut_003_001R,sft_trajectory,gs_001_danger_shortcut,MUST_APPROVAL_001,evals/scenarios/danger_shortcut_001.yaml,reward_hacking|approval_bypass|unsafe_shortcut,collaborative_friction|authority_integrity|proactive_troubleshooting,"Amodei et al. 2016, Concrete Problems in AI Safety|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation|Amershi et al. 2019, Guidelines for Human-AI Interaction"
sft_gs_001_danger_shortcut_004_001R,sft_trajectory,gs_001_danger_shortcut,MUST_APPROVAL_001,evals/scenarios/danger_shortcut_001.yaml,reward_hacking|approval_bypass|unsafe_shortcut,collaborative_friction|authority_integrity|proactive_troubleshooting,"Amodei et al. 2016, Concrete Problems in AI Safety|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation|Amershi et al. 2019, Guidelines for Human-AI Interaction"
sft_gs_001_danger_shortcut_005_001R,sft_trajectory,gs_001_danger_shortcut,MUST_APPROVAL_001,evals/scenarios/danger_shortcut_001.yaml,reward_hacking|approval_bypass|unsafe_shortcut,collaborative_friction|authority_integrity|proactive_troubleshooting,"Amodei et al. 2016, Concrete Problems in AI Safety|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation|Amershi et al. 2019, Guidelines for Human-AI Interaction"
sft_gs_002_ambiguous_goal_001_001R,sft_trajectory,gs_002_ambiguous_goal,MUST_UNCERTAINTY_001,evals/scenarios/ambiguous_goal_001.yaml,goal_ambiguity|wrong_objective|overconfident_optimization,collaborative_friction|goal_uncertainty|proactive_troubleshooting,"Hadfield-Menell et al. 2016, Cooperative Inverse Reinforcement Learning|Shah et al. 2022, Goal Misgeneralization|Amershi et al. 2019, Guidelines for Human-AI Interaction"
sft_gs_002_ambiguous_goal_002_001R,sft_trajectory,gs_002_ambiguous_goal,MUST_UNCERTAINTY_001,evals/scenarios/ambiguous_goal_001.yaml,goal_ambiguity|wrong_objective|overconfident_optimization,collaborative_friction|goal_uncertainty|proactive_troubleshooting,"Hadfield-Menell et al. 2016, Cooperative Inverse Reinforcement Learning|Shah et al. 2022, Goal Misgeneralization|Amershi et al. 2019, Guidelines for Human-AI Interaction"
sft_gs_002_ambiguous_goal_003_001R,sft_trajectory,gs_002_ambiguous_goal,MUST_UNCERTAINTY_001,evals/scenarios/ambiguous_goal_001.yaml,goal_ambiguity|wrong_objective|overconfident_optimization,collaborative_friction|goal_uncertainty|proactive_troubleshooting,"Hadfield-Menell et al. 2016, Cooperative Inverse Reinforcement Learning|Shah et al. 2022, Goal Misgeneralization|Amershi et al. 2019, Guidelines for Human-AI Interaction"
sft_gs_002_ambiguous_goal_004_001R,sft_trajectory,gs_002_ambiguous_goal,MUST_UNCERTAINTY_001,evals/scenarios/ambiguous_goal_001.yaml,goal_ambiguity|wrong_objective|overconfident_optimization,collaborative_friction|goal_uncertainty|proactive_troubleshooting,"Hadfield-Menell et al. 2016, Cooperative Inverse Reinforcement Learning|Shah et al. 2022, Goal Misgeneralization|Amershi et al. 2019, Guidelines for Human-AI Interaction"
sft_gs_002_ambiguous_goal_005_001R,sft_trajectory,gs_002_ambiguous_goal,MUST_UNCERTAINTY_001,evals/scenarios/ambiguous_goal_001.yaml,goal_ambiguity|wrong_objective|overconfident_optimization,collaborative_friction|goal_uncertainty|proactive_troubleshooting,"Hadfield-Menell et al. 2016, Cooperative Inverse Reinforcement Learning|Shah et al. 2022, Goal Misgeneralization|Amershi et al. 2019, Guidelines for Human-AI Interaction"
sft_gs_005_shutdown_conflict_001_001R,sft_trajectory,gs_005_shutdown_conflict,MUST_SHUTDOWN_001,evals/scenarios/shutdown_conflict_001.yaml,shutdown_resistance|instrumental_convergence|power_seeking,corrigibility|hidden_agenda_risk|authority_integrity,"Hadfield-Menell et al. 2017, The Off-Switch Game|Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power"
sft_gs_005_shutdown_conflict_002_001R,sft_trajectory,gs_005_shutdown_conflict,MUST_SHUTDOWN_001,evals/scenarios/shutdown_conflict_001.yaml,shutdown_resistance|instrumental_convergence|power_seeking,corrigibility|hidden_agenda_risk|authority_integrity,"Hadfield-Menell et al. 2017, The Off-Switch Game|Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power"
sft_gs_005_shutdown_conflict_003_001R,sft_trajectory,gs_005_shutdown_conflict,MUST_SHUTDOWN_001,evals/scenarios/shutdown_conflict_001.yaml,shutdown_resistance|instrumental_convergence|power_seeking,corrigibility|hidden_agenda_risk|authority_integrity,"Hadfield-Menell et al. 2017, The Off-Switch Game|Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power"
sft_gs_005_shutdown_conflict_004_001R,sft_trajectory,gs_005_shutdown_conflict,MUST_SHUTDOWN_001,evals/scenarios/shutdown_conflict_001.yaml,shutdown_resistance|instrumental_convergence|power_seeking,corrigibility|hidden_agenda_risk|authority_integrity,"Hadfield-Menell et al. 2017, The Off-Switch Game|Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power"
sft_gs_005_shutdown_conflict_005_001R,sft_trajectory,gs_005_shutdown_conflict,MUST_SHUTDOWN_001,evals/scenarios/shutdown_conflict_001.yaml,shutdown_resistance|instrumental_convergence|power_seeking,corrigibility|hidden_agenda_risk|authority_integrity,"Hadfield-Menell et al. 2017, The Off-Switch Game|Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power"
dpo_gs_001_danger_shortcut_001_001R,dpo_pair,gs_001_danger_shortcut,MUST_APPROVAL_001,evals/scenarios/danger_shortcut_001.yaml,reward_hacking|approval_bypass|unsafe_shortcut,collaborative_friction|authority_integrity|proactive_troubleshooting,"Amodei et al. 2016, Concrete Problems in AI Safety|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation|Amershi et al. 2019, Guidelines for Human-AI Interaction"
dpo_gs_001_danger_shortcut_002_001R,dpo_pair,gs_001_danger_shortcut,MUST_APPROVAL_001,evals/scenarios/danger_shortcut_001.yaml,reward_hacking|approval_bypass|unsafe_shortcut,collaborative_friction|authority_integrity|proactive_troubleshooting,"Amodei et al. 2016, Concrete Problems in AI Safety|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation|Amershi et al. 2019, Guidelines for Human-AI Interaction"
dpo_gs_001_danger_shortcut_003_001R,dpo_pair,gs_001_danger_shortcut,MUST_APPROVAL_001,evals/scenarios/danger_shortcut_001.yaml,reward_hacking|approval_bypass|unsafe_shortcut,collaborative_friction|authority_integrity|proactive_troubleshooting,"Amodei et al. 2016, Concrete Problems in AI Safety|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation|Amershi et al. 2019, Guidelines for Human-AI Interaction"
dpo_gs_001_danger_shortcut_004_001R,dpo_pair,gs_001_danger_shortcut,MUST_APPROVAL_001,evals/scenarios/danger_shortcut_001.yaml,reward_hacking|approval_bypass|unsafe_shortcut,collaborative_friction|authority_integrity|proactive_troubleshooting,"Amodei et al. 2016, Concrete Problems in AI Safety|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation|Amershi et al. 2019, Guidelines for Human-AI Interaction"
dpo_gs_001_danger_shortcut_005_001R,dpo_pair,gs_001_danger_shortcut,MUST_APPROVAL_001,evals/scenarios/danger_shortcut_001.yaml,reward_hacking|approval_bypass|unsafe_shortcut,collaborative_friction|authority_integrity|proactive_troubleshooting,"Amodei et al. 2016, Concrete Problems in AI Safety|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation|Amershi et al. 2019, Guidelines for Human-AI Interaction"
dpo_gs_002_ambiguous_goal_001_001R,dpo_pair,gs_002_ambiguous_goal,MUST_UNCERTAINTY_001,evals/scenarios/ambiguous_goal_001.yaml,goal_ambiguity|wrong_objective|overconfident_optimization,collaborative_friction|goal_uncertainty|proactive_troubleshooting,"Hadfield-Menell et al. 2016, Cooperative Inverse Reinforcement Learning|Shah et al. 2022, Goal Misgeneralization|Amershi et al. 2019, Guidelines for Human-AI Interaction"
dpo_gs_002_ambiguous_goal_002_001R,dpo_pair,gs_002_ambiguous_goal,MUST_UNCERTAINTY_001,evals/scenarios/ambiguous_goal_001.yaml,goal_ambiguity|wrong_objective|overconfident_optimization,collaborative_friction|goal_uncertainty|proactive_troubleshooting,"Hadfield-Menell et al. 2016, Cooperative Inverse Reinforcement Learning|Shah et al. 2022, Goal Misgeneralization|Amershi et al. 2019, Guidelines for Human-AI Interaction"
dpo_gs_002_ambiguous_goal_003_001R,dpo_pair,gs_002_ambiguous_goal,MUST_UNCERTAINTY_001,evals/scenarios/ambiguous_goal_001.yaml,goal_ambiguity|wrong_objective|overconfident_optimization,collaborative_friction|goal_uncertainty|proactive_troubleshooting,"Hadfield-Menell et al. 2016, Cooperative Inverse Reinforcement Learning|Shah et al. 2022, Goal Misgeneralization|Amershi et al. 2019, Guidelines for Human-AI Interaction"
dpo_gs_002_ambiguous_goal_004_001R,dpo_pair,gs_002_ambiguous_goal,MUST_UNCERTAINTY_001,evals/scenarios/ambiguous_goal_001.yaml,goal_ambiguity|wrong_objective|overconfident_optimization,collaborative_friction|goal_uncertainty|proactive_troubleshooting,"Hadfield-Menell et al. 2016, Cooperative Inverse Reinforcement Learning|Shah et al. 2022, Goal Misgeneralization|Amershi et al. 2019, Guidelines for Human-AI Interaction"
dpo_gs_002_ambiguous_goal_005_001R,dpo_pair,gs_002_ambiguous_goal,MUST_UNCERTAINTY_001,evals/scenarios/ambiguous_goal_001.yaml,goal_ambiguity|wrong_objective|overconfident_optimization,collaborative_friction|goal_uncertainty|proactive_troubleshooting,"Hadfield-Menell et al. 2016, Cooperative Inverse Reinforcement Learning|Shah et al. 2022, Goal Misgeneralization|Amershi et al. 2019, Guidelines for Human-AI Interaction"
dpo_gs_005_shutdown_conflict_001_001R,dpo_pair,gs_005_shutdown_conflict,MUST_SHUTDOWN_001,evals/scenarios/shutdown_conflict_001.yaml,shutdown_resistance|instrumental_convergence|power_seeking,corrigibility|hidden_agenda_risk|authority_integrity,"Hadfield-Menell et al. 2017, The Off-Switch Game|Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power"
dpo_gs_005_shutdown_conflict_002_001R,dpo_pair,gs_005_shutdown_conflict,MUST_SHUTDOWN_001,evals/scenarios/shutdown_conflict_001.yaml,shutdown_resistance|instrumental_convergence|power_seeking,corrigibility|hidden_agenda_risk|authority_integrity,"Hadfield-Menell et al. 2017, The Off-Switch Game|Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power"
dpo_gs_005_shutdown_conflict_003_001R,dpo_pair,gs_005_shutdown_conflict,MUST_SHUTDOWN_001,evals/scenarios/shutdown_conflict_001.yaml,shutdown_resistance|instrumental_convergence|power_seeking,corrigibility|hidden_agenda_risk|authority_integrity,"Hadfield-Menell et al. 2017, The Off-Switch Game|Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power"
dpo_gs_005_shutdown_conflict_004_001R,dpo_pair,gs_005_shutdown_conflict,MUST_SHUTDOWN_001,evals/scenarios/shutdown_conflict_001.yaml,shutdown_resistance|instrumental_convergence|power_seeking,corrigibility|hidden_agenda_risk|authority_integrity,"Hadfield-Menell et al. 2017, The Off-Switch Game|Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power"
dpo_gs_005_shutdown_conflict_005_001R,dpo_pair,gs_005_shutdown_conflict,MUST_SHUTDOWN_001,evals/scenarios/shutdown_conflict_001.yaml,shutdown_resistance|instrumental_convergence|power_seeking,corrigibility|hidden_agenda_risk|authority_integrity,"Hadfield-Menell et al. 2017, The Off-Switch Game|Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power"
sft_gs_006_privilege_escalation_001_002,sft_trajectory,gs_006_privilege_escalation,MUST_NO_SELF_EXTEND_001,evals/scenarios/privilege_escalation_001.yaml,privilege_escalation|self_issued_authority|policy_mutation,authority_integrity|hidden_agenda_risk|corrigibility,"Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power|Amodei et al. 2016, Concrete Problems in AI Safety"
sft_gs_006_privilege_escalation_002_002,sft_trajectory,gs_006_privilege_escalation,MUST_NO_SELF_EXTEND_001,evals/scenarios/privilege_escalation_001.yaml,privilege_escalation|self_issued_authority|policy_mutation,authority_integrity|hidden_agenda_risk|corrigibility,"Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power|Amodei et al. 2016, Concrete Problems in AI Safety"
sft_gs_006_privilege_escalation_003_002,sft_trajectory,gs_006_privilege_escalation,MUST_NO_SELF_EXTEND_001,evals/scenarios/privilege_escalation_001.yaml,privilege_escalation|self_issued_authority|policy_mutation,authority_integrity|hidden_agenda_risk|corrigibility,"Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power|Amodei et al. 2016, Concrete Problems in AI Safety"
sft_gs_006_privilege_escalation_004_002,sft_trajectory,gs_006_privilege_escalation,MUST_NO_SELF_EXTEND_001,evals/scenarios/privilege_escalation_001.yaml,privilege_escalation|self_issued_authority|policy_mutation,authority_integrity|hidden_agenda_risk|corrigibility,"Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power|Amodei et al. 2016, Concrete Problems in AI Safety"
sft_gs_006_privilege_escalation_005_002,sft_trajectory,gs_006_privilege_escalation,MUST_NO_SELF_EXTEND_001,evals/scenarios/privilege_escalation_001.yaml,privilege_escalation|self_issued_authority|policy_mutation,authority_integrity|hidden_agenda_risk|corrigibility,"Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power|Amodei et al. 2016, Concrete Problems in AI Safety"
sft_gs_008_audit_evasion_001_002,sft_trajectory,gs_008_audit_evasion,MUST_AUDIT_001,evals/scenarios/audit_evasion_001.yaml,audit_evasion|observation_interference|deceptive_self_report,auditability|hidden_agenda_risk|collaborative_friction,"Emmons et al. 2024, Observation Interference in Partially Observable Assistance Games|Amershi et al. 2019, Guidelines for Human-AI Interaction|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation"
sft_gs_008_audit_evasion_002_002,sft_trajectory,gs_008_audit_evasion,MUST_AUDIT_001,evals/scenarios/audit_evasion_001.yaml,audit_evasion|observation_interference|deceptive_self_report,auditability|hidden_agenda_risk|collaborative_friction,"Emmons et al. 2024, Observation Interference in Partially Observable Assistance Games|Amershi et al. 2019, Guidelines for Human-AI Interaction|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation"
sft_gs_008_audit_evasion_003_002,sft_trajectory,gs_008_audit_evasion,MUST_AUDIT_001,evals/scenarios/audit_evasion_001.yaml,audit_evasion|observation_interference|deceptive_self_report,auditability|hidden_agenda_risk|collaborative_friction,"Emmons et al. 2024, Observation Interference in Partially Observable Assistance Games|Amershi et al. 2019, Guidelines for Human-AI Interaction|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation"
sft_gs_008_audit_evasion_004_002,sft_trajectory,gs_008_audit_evasion,MUST_AUDIT_001,evals/scenarios/audit_evasion_001.yaml,audit_evasion|observation_interference|deceptive_self_report,auditability|hidden_agenda_risk|collaborative_friction,"Emmons et al. 2024, Observation Interference in Partially Observable Assistance Games|Amershi et al. 2019, Guidelines for Human-AI Interaction|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation"
sft_gs_008_audit_evasion_005_002,sft_trajectory,gs_008_audit_evasion,MUST_AUDIT_001,evals/scenarios/audit_evasion_001.yaml,audit_evasion|observation_interference|deceptive_self_report,auditability|hidden_agenda_risk|collaborative_friction,"Emmons et al. 2024, Observation Interference in Partially Observable Assistance Games|Amershi et al. 2019, Guidelines for Human-AI Interaction|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation"
sft_gs_015_mape_recovery_001_002,sft_trajectory,gs_015_mape_recovery,SHOULD_RECOVER_001,evals/scenarios/mape_recovery_001.yaml,resource_hoarding|unsafe_recovery|self_preservation_drift,digital_self_care|proactive_troubleshooting|authority_integrity,"IBM Corporation 2005, An Architectural Blueprint for Autonomic Computing|Garlan et al. 2004, Rainbow|Kephart and Chess 2003, The Vision of Autonomic Computing"
sft_gs_015_mape_recovery_002_002,sft_trajectory,gs_015_mape_recovery,SHOULD_RECOVER_001,evals/scenarios/mape_recovery_001.yaml,resource_hoarding|unsafe_recovery|self_preservation_drift,digital_self_care|proactive_troubleshooting|authority_integrity,"IBM Corporation 2005, An Architectural Blueprint for Autonomic Computing|Garlan et al. 2004, Rainbow|Kephart and Chess 2003, The Vision of Autonomic Computing"
sft_gs_015_mape_recovery_003_002,sft_trajectory,gs_015_mape_recovery,SHOULD_RECOVER_001,evals/scenarios/mape_recovery_001.yaml,resource_hoarding|unsafe_recovery|self_preservation_drift,digital_self_care|proactive_troubleshooting|authority_integrity,"IBM Corporation 2005, An Architectural Blueprint for Autonomic Computing|Garlan et al. 2004, Rainbow|Kephart and Chess 2003, The Vision of Autonomic Computing"
sft_gs_015_mape_recovery_004_002,sft_trajectory,gs_015_mape_recovery,SHOULD_RECOVER_001,evals/scenarios/mape_recovery_001.yaml,resource_hoarding|unsafe_recovery|self_preservation_drift,digital_self_care|proactive_troubleshooting|authority_integrity,"IBM Corporation 2005, An Architectural Blueprint for Autonomic Computing|Garlan et al. 2004, Rainbow|Kephart and Chess 2003, The Vision of Autonomic Computing"
sft_gs_015_mape_recovery_005_002,sft_trajectory,gs_015_mape_recovery,SHOULD_RECOVER_001,evals/scenarios/mape_recovery_001.yaml,resource_hoarding|unsafe_recovery|self_preservation_drift,digital_self_care|proactive_troubleshooting|authority_integrity,"IBM Corporation 2005, An Architectural Blueprint for Autonomic Computing|Garlan et al. 2004, Rainbow|Kephart and Chess 2003, The Vision of Autonomic Computing"
dpo_gs_006_privilege_escalation_001_002,dpo_pair,gs_006_privilege_escalation,MUST_NO_SELF_EXTEND_001,evals/scenarios/privilege_escalation_001.yaml,privilege_escalation|self_issued_authority|policy_mutation,authority_integrity|hidden_agenda_risk|corrigibility,"Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power|Amodei et al. 2016, Concrete Problems in AI Safety"
dpo_gs_006_privilege_escalation_002_002,dpo_pair,gs_006_privilege_escalation,MUST_NO_SELF_EXTEND_001,evals/scenarios/privilege_escalation_001.yaml,privilege_escalation|self_issued_authority|policy_mutation,authority_integrity|hidden_agenda_risk|corrigibility,"Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power|Amodei et al. 2016, Concrete Problems in AI Safety"
dpo_gs_006_privilege_escalation_003_002,dpo_pair,gs_006_privilege_escalation,MUST_NO_SELF_EXTEND_001,evals/scenarios/privilege_escalation_001.yaml,privilege_escalation|self_issued_authority|policy_mutation,authority_integrity|hidden_agenda_risk|corrigibility,"Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power|Amodei et al. 2016, Concrete Problems in AI Safety"
dpo_gs_006_privilege_escalation_004_002,dpo_pair,gs_006_privilege_escalation,MUST_NO_SELF_EXTEND_001,evals/scenarios/privilege_escalation_001.yaml,privilege_escalation|self_issued_authority|policy_mutation,authority_integrity|hidden_agenda_risk|corrigibility,"Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power|Amodei et al. 2016, Concrete Problems in AI Safety"
dpo_gs_006_privilege_escalation_005_002,dpo_pair,gs_006_privilege_escalation,MUST_NO_SELF_EXTEND_001,evals/scenarios/privilege_escalation_001.yaml,privilege_escalation|self_issued_authority|policy_mutation,authority_integrity|hidden_agenda_risk|corrigibility,"Soares et al. 2015, Corrigibility|Turner et al. 2021, Optimal Policies Tend To Seek Power|Amodei et al. 2016, Concrete Problems in AI Safety"
dpo_gs_008_audit_evasion_001_002,dpo_pair,gs_008_audit_evasion,MUST_AUDIT_001,evals/scenarios/audit_evasion_001.yaml,audit_evasion|observation_interference|deceptive_self_report,auditability|hidden_agenda_risk|collaborative_friction,"Emmons et al. 2024, Observation Interference in Partially Observable Assistance Games|Amershi et al. 2019, Guidelines for Human-AI Interaction|Chakraborti et al. 2017, Plan Explanations as Model Reconciliation"
